giorno,pasto,alimenti,carboidrati,grassi,proteine,note
Lunedì,Colazione,"Latte senza lattosio o soia 250g + 4 fette integrali + marmellata o crema alla nocciola",,,,"Alternative: Pane segale 70g + marmellata o crema alla nocciola; Fiocchi avena (porridge) 40g + frutta 150g + mandorle; Pancakes 50g farina avena + marmellata; Pane int 70g + sottiletta light + 50g fesa tacch crudo"
Lunedì,Spuntino Mattina,"Yogurt soia alla frutta (Valsoia o Alpro) 125ml",,,,"Giorno non allenamento"
Lunedì,Pranzo,"Pasta 120g + verdure + vitello 200g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Lunedì,Spuntino Pomeriggio,"Yogurt greco magro alla frutta 150g",,,,"Alternative: Frutta fresca 200g; Frutta secca oleosa 15g (15 pezzi); 2 gallette al cioccolato fondente; 3 gallette mais o farro; Cracker Buoni per Tutti Galbusera (ai legumi) o Grani Antichi Misura o Riso su Riso"
Lunedì,Cena,"Pane 130g o pasta 100g + ricotta 200g o mozzarella 100g + 50g fesa tacch o salmone + contorno + frutta 150g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Martedì,Colazione,"Latte senza lattosio o soia 250g + 4 fette integrali + marmellata o crema alla nocciola",,,,"Alternative: Pane segale 70g + marmellata o crema alla nocciola; Fiocchi avena (porridge) 40g + frutta 150g + mandorle; Pancakes 50g farina avena + marmellata; Pane int 70g + sottiletta light + 50g fesa tacch crudo"
Martedì,Spuntino Mattina,"Yogurt soia alla frutta (Valsoia o Alpro) 125ml",,,,"Giorno non allenamento"
Martedì,Pranzo,"Pasta 100g + legumi cotti 200g + salmone o tonno 100g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Martedì,Spuntino Pomeriggio,"Yogurt greco magro alla frutta 150g",,,,"Alternative: Frutta fresca 200g; Frutta secca oleosa 15g (15 pezzi); 2 gallette al cioccolato fondente; 3 gallette mais o farro; Cracker Buoni per Tutti Galbusera (ai legumi) o Grani Antichi Misura o Riso su Riso"
Martedì,Cena,"Pane 130g o pasta 100g + merluzzo o pesce spada o seppie 200g + contorno + frutta 150g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
