giorno,pasto,alimenti,carboidrati,grassi,proteine,note
Lunedì,Colazione,"Pane integrale 70g + fesa di tacchino o bresaola o tonno affumicato o salmone affumicato 100g + sottiletta light",,,,"Giorno allenamento. Alternativa: Yogurt greco fage trublend o skyr + 50g cereali o granola + frutta 150g"
Lunedì,Spuntino Mattina,"Latte di soia + 30g proteine in polvere",,,,"Giorno allenamento"
Lunedì,Pranzo,"Pane integrale 80g + vitello 200g + verdure",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Lunedì,Spuntino Pomeriggio,"Frutta 200g",,,,
Lunedì,Cena,"Pane 50g + mozzarella 100g + 50g fesa o salmone affumicato + contorno",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Martedì,Colazione,"Latte 200g + biscotti integrali Misura o Galbusera gran cereali 6",,,,"Giorno off. Max 2 volte a settimana"
Martedì,Spuntino Mattina,"Yogurt greco alla frutta (fage trublend o skyr)",,,,"Giorno off"
Martedì,Pranzo,"Legumi cotti 200g o pane 70g + salmone 100g o tonno 100g + verdure",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Martedì,Spuntino Pomeriggio,"Frutta 200g",,,,
Martedì,Cena,"Pane 50g + merluzzo o seppie o pesce spada 200g + contorno",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Mercoledì,Colazione,"Yogurt greco fage trublend o skyr + 50g cereali o granola + frutta 150g",,,,"Giorno allenamento. Alternativa: Pane int 70g + affettati magri 100g + sottiletta light"
Mercoledì,Spuntino Mattina,"Latte di soia + 30g proteine in polvere",,,,"Giorno allenamento"
Mercoledì,Pranzo,"Riso integrale o riso basmati o pasta integrale 80g + zucca o funghi + 2 uova",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Mercoledì,Spuntino Pomeriggio,"Frutta 200g",,,,
Mercoledì,Cena,"Pane 50g + arista di maiale 150g o tacchino petto 200g + contorno",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Giovedì,Colazione,"Latte 200g + pane integrale 50g o 3 fette integrali + marmellata senza zuccheri",,,,"Giorno off"
Giovedì,Spuntino Mattina,"Yogurt greco alla frutta (fage trublend o skyr)",,,,"Giorno off"
Giovedì,Pranzo,"Legumi cotti 200g o pane 70g + pollo petto 200g + verdure",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Giovedì,Spuntino Pomeriggio,"Frutta 200g",,,,
Giovedì,Cena,"Pane 50g + 3 uova + contorno",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Venerdì,Colazione,"Pane integrale 70g + fesa di tacchino o bresaola o tonno affumicato o salmone affumicato 100g + sottiletta light",,,,"Giorno allenamento. Alternativa: Yogurt greco fage trublend o skyr + 50g cereali o granola + frutta 150g"
Venerdì,Spuntino Mattina,"Latte di soia + 30g proteine in polvere",,,,"Giorno allenamento"
Venerdì,Pranzo,"Pasta integrale 80g + verdure + mozzarella proteica 200g o light 100g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Venerdì,Spuntino Pomeriggio,"Frutta 200g",,,,
Venerdì,Cena,"Pane 50g + seppie o calamari o polpo 200g + contorno",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Sabato,Colazione,"Latte 200g + pancakes ricetta 3 porzioni",,,,"Giorno off. Alternativa: Yogurt greco + 30g cereali o granola o frutta 150g"
Sabato,Spuntino Mattina,"Yogurt greco alla frutta (fage trublend o skyr)",,,,"Giorno off"
Sabato,Pranzo,"Pane 50g + pollo petto 200g + insalata",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Sabato,Spuntino Pomeriggio,"Frutta 200g",,,,
Sabato,Cena,"Secondo a scelta + contorno",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Domenica,Colazione,"Yogurt greco fage trublend o skyr + 30g cereali o granola o frutta 150g",,,,"Giorno libero"
Domenica,Spuntino Mattina,"Yogurt greco alla frutta (fage trublend o skyr)",,,,
Domenica,Pranzo,"A piacere",,,,"Domenica libera"
Domenica,Spuntino Pomeriggio,"Frutta 200g",,,,
Domenica,Cena,"Pane 50g + 2 uova + cetrioli",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
